,Species,Owner,Country_of_Origin,Region,Farm_Name,Altitude,Harvest.Year,Grading.Date,Grading_Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Moisture,Color,Expiration,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
1,Arabica,metad plc,Ethiopia,Africa,metad plc,1950-2200,2014,"April 4th, 2015",2015,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,Green,"April 3rd, 2016",m,1950,2200,2075
2,Arabica,metad plc,Ethiopia,Africa,metad plc,1950-2200,2014,"April 4th, 2015",2015,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,Green,"April 3rd, 2016",m,1950,2200,2075
3,Arabica,grounds for health admin,Guatemala,CenterA,"san marcos barrancas ""san cristobal cuch",1600 - 1800 m,,"May 31st, 2010",2010,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,,"May 31st, 2011",m,1600,1800,1700
4,Arabica,yidnekachew dabessa,Ethiopia,Africa,yidnekachew dabessa coffee plantation,1800-2200,2014,"March 26th, 2015",2015,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,Green,"March 25th, 2016",m,1800,2200,2000
5,Arabica,metad plc,Ethiopia,Africa,metad plc,1950-2200,2014,"April 4th, 2015",2015,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,Green,"April 3rd, 2016",m,1950,2200,2075
6,Arabica,ji-ae ahn,Brazil,SouthA,unknown,,2013,"September 3rd, 2013",2013,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,Bluish-Green,"September 3rd, 2014",m,NA,NA,NA
7,Arabica,hugo valdivia,Peru,SouthA,unknown,,2012,"September 17th, 2012",2012,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,Bluish-Green,"September 17th, 2013",m,NA,NA,NA
8,Arabica,ethiopia commodity exchange,Ethiopia,Africa,aolme,1570-1700,10-Mar,"September 2nd, 2010",2010,,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,,"September 2nd, 2011",m,1570,1700,1635
9,Arabica,ethiopia commodity exchange,Ethiopia,Africa,aolme,1570-1700,10-Mar,"September 2nd, 2010",2010,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,,"September 2nd, 2011",m,1570,1700,1635
10,Arabica,diamond enterprise plc,Ethiopia,Africa,tulla coffee farm,1795-1850,2014,"March 30th, 2015",2015,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,Green,"March 29th, 2016",m,1795,1850,1822.5
11,Arabica,mohammed lalo,Ethiopia,Africa,fahem coffee plantation,1855-1955,2014,"March 27th, 2015",2015,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,,"March 26th, 2016",m,1855,1955,1905
12,Arabica,cqi q coffee sample representative,United States,NorthA,el filo,meters above sea level: 1.872,2014,"March 13th, 2015",2015,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,,"March 12th, 2016",m,1872,1872,1872
13,Arabica,cqi q coffee sample representative,United States,NorthA,los cedros,meters above sea level: 1.943,2014,"March 13th, 2015",2015,Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,,"March 12th, 2016",m,1943,1943,1943
14,Arabica,grounds for health admin,United States (Hawaii),Pacific,arianna farms,2000 ft,Sept 2009 - April 2010,"May 31st, 2010",2010,,,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,,"May 31st, 2011",ft,609.6,609.6,609.6
15,Arabica,ethiopia commodity exchange,Ethiopia,Africa,aolme,1570-1700,10-Mar,"August 31st, 2010",2010,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,,"August 31st, 2011",m,1570,1700,1635
16,Arabica,cqi q coffee sample representative,United States,NorthA,el aguila,meters above sea level: 2.080,2014,"March 13th, 2015",2015,Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,,"March 12th, 2016",m,2080,2080,2080
17,Arabica,grounds for health admin,Indonesia,Asia,toarco jaya,1200-1800m,May-August,"May 31st, 2010",2010,,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,,"May 31st, 2011",m,1200,1800,1500
18,Arabica,ethiopia commodity exchange,Ethiopia,Africa,unknown,,2009/2010,"June 16th, 2010",2010,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,,"June 16th, 2011",m,NA,NA,NA
19,Arabica,yunnan coffee exchange,China,Asia,echo coffee,1450,2015,"April 7th, 2016",2016,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,Green,"April 7th, 2017",m,1450,1450,1450
20,Arabica,essencecoffee,Ethiopia,Africa,drima zede,1700-2000m,2014,"March 25th, 2015",2015,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,,"March 24th, 2016",m,1700,2000,1850
21,Arabica,cqi q coffee sample representative,United States,NorthA,el rodeo,meters above sea level: 2.019,2014,"March 13th, 2015",2015,Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,None,"March 12th, 2016",m,2019,2019,2019
22,Arabica,the coffee source inc.,Costa Rica,CenterA,several,1300 msnm,2014,"April 2nd, 2014",2014,Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,Green,"April 2nd, 2015",m,1300,1300,1300
23,Arabica,roberto licona franco,Mexico,CenterA,la herradura,1320,2012,"July 26th, 2012",2012,Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,Green,"July 26th, 2013",m,1320,1320,1320
24,Arabica,cqi q coffee sample representative,United States,NorthA,la curva,meters above sea level: 2.112,2014,"March 13th, 2015",2015,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,,"March 12th, 2016",m,2112,2112,2112
25,Arabica,ji-ae ahn,Ethiopia,Africa,unknown,,2013,"September 3rd, 2013",2013,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,Bluish-Green,"September 3rd, 2014",m,NA,NA,NA
26,Arabica,nucoffee,Brazil,SouthA,fazenda kaquend,1250m,2011,"December 3rd, 2011",2011,Bourbon,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,Green,"December 2nd, 2012",m,1250,1250,1250
27,Arabica,ethiopia commodity exchange,Ethiopia,Africa,unknown,,2009/2010,"June 16th, 2010",2010,,,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,,"June 16th, 2011",m,NA,NA,NA
28,Arabica,kabum trading company,Uganda,Africa,chebonet (23) women coffee,1950,2013,"June 26th, 2014",2014,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,Green,"June 26th, 2015",m,1950,1950,1950
29,Arabica,bismarck castro,Honduras,CenterA,los hicaques,1400,2016,"May 18th, 2017",2017,Caturra,,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,Green,"May 18th, 2018",m,1400,1400,1400
30,Arabica,"lin, che-hao krude",Taiwan,Asia,tsoustructive garden ,1200,2015,"May 18th, 2016",2016,Sumatra,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,Green,"May 18th, 2017",m,1200,1200,1200
31,Arabica,nora zeas,Nicaragua,CenterA,unknown,,,"May 18th, 2010",2010,,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,,"May 18th, 2011",m,NA,NA,NA
32,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",Africa,unknown,,2012,"September 3rd, 2013",2013,,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,Bluish-Green,"September 3rd, 2014",m,NA,NA,NA
33,Arabica,nucoffee,Brazil,SouthA,fazenda recreio,1300,2011,"December 3rd, 2011",2011,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,Green,"December 2nd, 2012",m,1300,1300,1300
34,Arabica,francisco a mena,Costa Rica,CenterA,exclusive coffees s.a.,1300,2015/2016,"December 3rd, 2015",2015,Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,Blue-Green,"December 2nd, 2016",m,1300,1300,1300
35,Arabica,hider abamecha,Ethiopia,Africa,haider abamecha coffee plantation,1750-1800,2014,"March 27th, 2015",2015,,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,Green,"March 26th, 2016",m,1750,1800,1775
