,Country_of_Origin,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints
1,Ethiopia,Africa,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58
2,Ethiopia,Africa,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92
3,Guatemala,CentralA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75
4,Ethiopia,Africa,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89
5,Ethiopia,Africa,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83
6,Brazil,SouthA,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83
7,Peru,SouthA,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75
8,Ethiopia,Africa,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67
9,Ethiopia,Africa,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42
10,Ethiopia,Africa,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25
11,Ethiopia,Africa,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08
12,United States,NorthA,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92
13,United States,NorthA,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92
14,United States (Hawaii),Pacific,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92
15,Ethiopia,Africa,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83
16,United States,NorthA,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58
17,Indonesia,Asia,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42
18,Ethiopia,Africa,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33
19,China,Asia,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25
20,Ethiopia,Africa,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25
21,United States,NorthA,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25
22,Costa Rica,CentralA,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17
23,Mexico,CentralA,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17
24,United States,NorthA,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08
25,Ethiopia,Africa,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08
26,Brazil,SouthA,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92
27,Ethiopia,Africa,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92
28,Uganda,Africa,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83
29,Honduras,CentralA,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67
30,Taiwan,Asia,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58
31,Nicaragua,CentralA,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58
32,"Tanzania, United Republic Of",Africa,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5
33,Brazil,SouthA,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42
34,Costa Rica,CentralA,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33
35,Ethiopia,Africa,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25
36,Kenya,Africa,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25
37,United States (Hawaii),Pacific,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25
38,United States (Hawaii),Pacific,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25
39,Ethiopia,Africa,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25
40,United States,NorthA,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17
41,Thailand,Asia,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17
42,Brazil,SouthA,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17
43,Brazil,SouthA,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17
44,Taiwan,Asia,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08
45,Kenya,Africa,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08
46,Brazil,SouthA,8.33,8,8,8,7.75,8,10,10,10,8,86.08
47,Uganda,Africa,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86
48,Colombia,SouthA,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86
49,Kenya,Africa,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86
50,Uganda,Africa,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86
51,Ethiopia,Africa,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86
52,United States (Hawaii),Pacific,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86
53,Guatemala,CentralA,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92
54,Uganda,Africa,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92
55,Colombia,SouthA,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92
56,Panama,CentralA,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83
57,Ethiopia,Africa,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83
58,Guatemala,CentralA,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83
59,Guatemala,CentralA,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83
60,Ethiopia,Africa,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75
61,Peru,SouthA,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75
62,Papua New Guinea,Pacific,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75
63,El Salvador,CentralA,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58
64,El Salvador,CentralA,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58
65,United States (Hawaii),Pacific,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58
66,Panama,CentralA,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5
67,Kenya,Africa,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5
68,Ethiopia,Africa,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5
69,Uganda,Africa,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5
70,Guatemala,CentralA,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5
